Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,pIC50,Standardized Smiles,Molecule
CHEMBL402011,,None,467.53,0,4.02,2,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,IC50,'=',180.0,nM,6.75,No Comment,,UO_0000065,14.43,0.26,2.72,6.88,0,CHEMBL928913,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141539,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,None,,,6.7447,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879F50>
CHEMBL1242665,,None,293.33,0,2.30,PP161,CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21,IC50,'=',45000.0,nM,4.35,No Comment,,UO_0000065,14.82,0.27,2.05,5.00,0,CHEMBL1243977,Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008.0,None,,,4.3468,CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21,<rdkit.Chem.rdchem.Mol object at 0x000001B30B879FC0>
CHEMBL1242476,,None,308.35,0,2.11,PP154,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,IC50,'=',207.0,nM,6.68,No Comment,,UO_0000065,21.68,0.40,4.57,5.38,0,CHEMBL1243977,Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008.0,None,,,6.684,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A030>
CHEMBL1242572,,None,319.37,0,3.07,PP115,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,IC50,'=',760.0,nM,6.12,No Comment,,UO_0000065,19.16,0.35,3.05,6.23,0,CHEMBL1243977,Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008.0,None,,,6.1192,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A0A0>
CHEMBL244948,DAPHNETIN,None,178.14,0,1.20,"K00057, Daphnetin",O=c1ccc2ccc(O)c(O)c2o1,IC50,'=',7670.0,nM,5.12,No Comment,,UO_0000065,28.71,0.54,3.92,7.24,0,CHEMBL940057,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145498,1,Scientific Literature,Proc Natl Acad Sci U S A,2007.0,None,,,5.1152,O=c1ccc2ccc(O)c(O)c2o1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A110>
CHEMBL406845,,None,301.78,0,3.48,"K00048, AG-1879",CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,IC50,'=',480.0,nM,6.32,No Comment,,UO_0000065,20.94,0.41,2.84,9.08,0,CHEMBL940057,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1145498,1,Scientific Literature,Proc Natl Acad Sci U S A,2007.0,None,,,6.3188,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A180>
CHEMBL512054,ALTERSOLANOL A,None,336.30,0,-1.08,3,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,IC50,'=',6.0,ug.mL-1,,No Comment,,UO_0000274,,,,,0,CHEMBL1026226,Inhibition of recombinant EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1151842,1,Scientific Literature,J Nat Prod,2009.0,None,,,4.7486,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A260>
CHEMBL217536,,None,447.38,1,5.23,7,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C1CCSS1,IC50,'=',60.0,nM,7.22,No Comment,,UO_0000065,16.14,0.38,1.99,10.79,0,CHEMBL908277,Inhibition of EGFR tyrosine kinase activity,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137325,1,Scientific Literature,J Med Chem,2006.0,None,,,7.2218,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C1CCSS1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A3B0>
CHEMBL498249,,None,346.29,0,1.70,7,CO[C@H](C)c1c(O)cc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O,IC50,'=',41000.0,nM,4.39,No Comment,,UO_0000065,12.67,0.24,2.69,3.04,0,CHEMBL974188,Inhibition of human recombinant EGFR kinase expressed in Sf9 insect cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142620,1,Scientific Literature,J Nat Prod,2000.0,CHEMBL3308860,,,4.3872,CO[C@H](C)c1c(O)cc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A420>
CHEMBL490570,,None,300.40,0,3.38,104,CC(C)(C)c1cc(/C=C(\C#N)C(N)=O)cc(C(C)(C)C)c1O,IC50,'=',50000.0,nM,4.3,No Comment,,UO_0000065,14.32,0.27,0.92,4.94,0,CHEMBL941412,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1150213,1,Scientific Literature,J Nat Prod,1992.0,None,,,4.301,CC(C)(C)c1cc(/C=C(\C#N)C(N)=O)cc(C(C)(C)C)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A490>
CHEMBL450484,,None,180.16,0,1.20,92,O=C(O)/C=C/c1cc(O)ccc1O,IC50,'=',8.0,ug.mL-1,,No Comment,,UO_0000274,,,,,0,CHEMBL941412,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1150213,1,Scientific Literature,J Nat Prod,1992.0,None,,,4.3526,O=C(O)/C=C/c1cc(O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A500>
CHEMBL485485,,None,179.18,0,0.81,86,O=CN/C=C/c1cccc(O)c1O,IC50,'=',0.3,ug.mL-1,,No Comment,,UO_0000274,,,,,0,CHEMBL941412,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1150213,1,Scientific Literature,J Nat Prod,1992.0,None,,,5.7762,O=CN/C=C/c1cccc(O)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A570>
CHEMBL1202061,,None,532.41,0,2.52,164,CCOC(=O)C(=O)Oc1ccc(-c2c(C(=O)OCC)oc3cc(O)cc(O)c3c2=O)cc1.O=C(O)C(=O)O,IC50,'=',1000.0,nM,6.0,No Comment,,UO_0000065,13.56,0.26,3.48,4.01,0,CHEMBL941412,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1150213,1,Scientific Literature,J Nat Prod,1992.0,None,,,6.0,CCOC(=O)C(=O)Oc1ccc(-c2c(C(=O)OCC)oc3cc(O)cc(O)c3c2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A5E0>
CHEMBL475352,,None,374.43,0,4.38,"15, Table 3",COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,IC50,'=',2600.0,nM,5.58,No Comment,,UO_0000065,14.92,0.28,1.21,6.30,0,CHEMBL964945,Inhibition of EGFR by virtual HTS assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153282,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,None,,,5.585,COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A650>
CHEMBL464210,,None,360.44,0,4.46,"2, Table 2",CNC(=O)c1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,IC50,'=',2000.0,nM,5.7,No Comment,,UO_0000065,15.81,0.30,1.24,8.52,0,CHEMBL964945,Inhibition of EGFR by virtual HTS assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153282,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,None,,,5.699,CNC(=O)c1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A6C0>
CHEMBL312482,,None,440.57,1,6.02,50,c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CN4CCOCC4)cc3)cc2n1,IC50,'=',30.0,nM,7.52,No Comment,,UO_0000065,17.08,0.32,1.50,14.15,0,CHEMBL674107,Inhibitory activity against epidermal growth factor receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146693,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,None,,,7.5229,c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CN4CCOCC4)cc3)cc2n1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A730>
CHEMBL125331,,None,280.34,0,2.42,7r,CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,IC50,'=',1790.0,nM,5.75,No Comment,,UO_0000065,,,,,0,CHEMBL674641,Inhibition of tyrosine phosphorylation by full length Epidermal growth factor receptor from human A431 carcinoma cells.,F,BAO_0000219,cell-based format,None,None,None,A-431,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1128730,1,Scientific Literature,J Med Chem,1995.0,CHEMBL3307523,,,5.7471,CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A810>
CHEMBL1095154,,None,499.05,1,6.18,9,Cl.NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,IC50,'=',1300.0,nM,5.89,No Comment,,UO_0000065,12.72,0.23,-0.29,9.74,0,CHEMBL1105615,Inhibition of EGFR after 30 mins by chemiluminescence ELISA,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157833,1,Scientific Literature,Bioorg Med Chem,2010.0,None,,,5.8861,NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A8F0>
CHEMBL1094825,,None,573.10,2,7.22,22,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,IC50,'=',2750.0,nM,5.56,No Comment,,UO_0000065,10.36,0.19,-1.66,9.20,0,CHEMBL1105615,Inhibition of EGFR after 30 mins by chemiluminescence ELISA,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157833,1,Scientific Literature,Bioorg Med Chem,2010.0,None,,,5.5607,NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87A960>
CHEMBL31656,,None,486.94,0,3.79,25,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,IC50,'=',1.5,nM,8.82,No Comment,,UO_0000065,18.12,0.35,5.03,8.69,0,CHEMBL674020,Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1133162,1,Scientific Literature,J Med Chem,2000.0,None,,,8.8239,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AA40>
CHEMBL1241300,,None,257.25,0,1.32,PP321,COc1ccc(-c2n[nH]c3ncnc(N)c23)cc1O,IC50,'=',100000.0,nM,4.0,No Comment,,UO_0000065,15.55,0.29,2.68,3.64,0,CHEMBL1243977,Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008.0,None,,,4.0,COc1ccc(-c2n[nH]c3ncnc(N)c23)cc1O,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AAB0>
CHEMBL1641991,,None,395.26,0,4.96,10,CCC(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,IC50,'=',20800.0,nM,4.68,No Comment,,UO_0000065,11.85,0.26,-0.28,6.02,0,CHEMBL1646349,Inhibition of EGFR by HTRF assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1641579,1,Scientific Literature,Bioorg Med Chem,2011.0,None,,,4.6819,CCC(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AB20>
CHEMBL1641990,,None,450.34,0,4.67,9,CN(C)C/C=C/C(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,IC50,'=',150.0,nM,6.82,No Comment,,UO_0000065,15.15,0.32,2.15,8.42,0,CHEMBL1646349,Inhibition of EGFR by HTRF assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1641579,1,Scientific Literature,Bioorg Med Chem,2011.0,None,,,6.8239,CN(C)C/C=C/C(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AB90>
CHEMBL1641992,,None,493.41,0,4.19,11,CN1CCN(CCC(=O)Nc2ccc3c(C#N)cnc(Nc4cccc(Br)c4)c3c2)CC1,IC50,'=',1300.0,nM,5.89,No Comment,,UO_0000065,11.93,0.25,1.70,6.98,0,CHEMBL1646349,Inhibition of EGFR by HTRF assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1641579,1,Scientific Literature,Bioorg Med Chem,2011.0,None,,,5.8861,CN1CCN(CCC(=O)Nc2ccc3c(C#N)cnc(Nc4cccc(Br)c4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AC00>
CHEMBL256362,,None,457.53,1,5.03,21,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,IC50,'=',1100.0,nM,5.96,No Comment,,UO_0000065,13.02,0.24,0.93,6.66,0,CHEMBL930778,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141561,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,None,,,5.9586,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AC70>
CHEMBL411897,,None,510.00,1,4.21,12p,COC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,IC50,'=',28.0,nM,7.55,No Comment,,UO_0000065,14.81,0.29,3.34,6.85,0,CHEMBL947896,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143160,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,None,,,7.5528,COC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87ACE0>
CHEMBL255170,,None,495.97,0,4.08,12c,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,IC50,'=',7.0,nM,8.15,No Comment,,UO_0000065,16.44,0.32,4.07,6.72,0,CHEMBL947896,Inhibition of EGFR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143160,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,None,,,8.1549,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87AD50>
CHEMBL138363,,None,384.24,0,4.05,8,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,'=',1.6,nM,8.8,No Comment,,UO_0000065,22.89,0.50,4.75,11.02,0,CHEMBL673925,Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme (from human A431 carcinoma cell vesicles),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134843,1,Scientific Literature,J Med Chem,2001.0,None,,,8.7959,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001B30B87ADC0>
